y_vals,x_vals,shape_id
-62255.81515850979,-118647.5895628238,0
-62334.371367947955,-121200.66636956425,0
-62153.45138761965,-121537.66535459977,0
-61920.84331903825,-121589.35603650674,0
-61533.16320473592,-121796.11876413466,0
-61171.32843138708,-121925.3454689021,0
-60783.64831708474,-121951.19080985559,0
-61067.94706757312,-122493.94296987886,0
-60887.0296808987,-122804.08706132072,0
-60499.34956659637,-123036.69512990212,0
-59723.989337991705,-123165.92183466957,0
-59491.3812694103,-122855.77774322769,0
-59362.15456464286,-122416.40694701839,0
-59026.1651322475,-122157.95353748351,0
-58896.93842748006,-122493.94296987886,0
-59098.823775616154,-122634.37891987333,0
-58952.06766033201,-122927.8911504416,0
-58532.764473805895,-123116.57758437835,0
-58218.28708391131,-123431.05497427295,0
-58302.14772121653,-123913.25363877798,0
-58281.18256189022,-124269.66134732518,0
-58134.426446606085,-124835.72064913543,0
-57819.9490567115,-125213.09351700894,0
-57211.95943624863,-125653.36186286135,0
-56583.00465645946,-126135.56052736638,0
-56121.77115128074,-126554.86371389251,0
-55639.5724867757,-127162.85333435537,0
-55325.095096881116,-127875.66875144976,0
-54905.791910355,-128798.1357618072,0
-54591.314520460415,-129699.63761283836,0
-54381.66292719736,-130056.04532138555,0
-54025.255218650156,-130391.48787060645,0
-54004.29005932385,-130873.68653511148,0
-53815.6036253871,-131272.02456231127,0
-53878.49910336602,-131796.15354546893,0
-53941.39458134494,-132278.35220997396,0
-53920.429422018635,-132781.5160338053,0
-53626.91719145035,-132970.20246774206,0
-53834.519534085615,-133529.5457584672,0
-53707.43586762173,-134537.1376854308,0
-53317.10746348267,-135590.1166361315,0
-52935.85646409103,-135508.41999340474,0
-52745.23096439522,-135199.78823199245,0
-52527.37325045714,-134700.53097088437,0
-52336.747750761315,-134391.8992094721,0
-52209.66408429744,-134446.36363795662,0
-52082.58041783356,-134636.98913765242,0
-52100.7352273284,-134945.6208990647,0
-52191.5092748026,-135217.94304148728,0
-52300.43813177164,-135463.03296966766,0
-52545.528059951976,-135817.05175481702,0
-52799.69539287974,-136089.3738972396,0
-52999.39829732297,-136352.6186349148,0
-53235.4108207559,-136570.47634885288,0
-53335.26227297752,-136779.2566580435,0
-53335.26227297752,-136960.8047529919,0
-53496.71103428503,-137214.13856448166,0
-53620.868388831615,-137586.61062812142,0
-53662.25417368048,-137945.2874301449,0
-53593.27786559903,-138276.3737089358,0
-53979.545190855104,-138607.4599877267,0
-54310.631469646,-138966.1367897502,0
-54517.56039389032,-139407.5851614714,0
-54517.56039389032,-139780.0572251112,0
-54531.35565550661,-140083.5529806695,0
-54600.33196358805,-140552.5918756233,0
-54685.0292225484,-141121.9494198818,0
-54617.00336526944,-141479.0851705964,0
-54344.89993615358,-141700.16920675302,0
-54038.78357839824,-141717.17567107276,0
-53715.66075632315,-141836.22092131095,0
-53834.70600656134,-142142.3372790663,0
-53868.71893520082,-142516.4794941006,0
-53817.6995422416,-142839.6023161757,0
-53664.641363363924,-143060.6863523323,0
-53137.44096945195,-143366.80271008768,0
-52865.337540336084,-143366.80271008768,0
-52134.059574587205,-142958.64756641389,0
-51817.252008706055,-142572.77301682148,0
-51655.25751377397,-142079.42614589195,0
-51647.89412764069,-141748.07376989452,0
-51802.5252364395,-141453.53832456344,0
-51927.7028007052,-141372.5410770974,0
-52163.331156970045,-141350.45091869758,0
-52340.05242416868,-141276.81705736482,0
-52568.31739430025,-141195.8198098988,0
-52583.044166566804,-140893.92097843444,0
-52332.6890380354,-140695.10955283596,0
-52207.51147376971,-140481.57135497095,0
-52045.51697883762,-140223.8528403063,0
-51927.7028007052,-139921.95400884192,0
-51868.79571163899,-139524.33115764498,0
-51898.24925617209,-139266.61264298033,0
-52052.8803649709,-139141.43507871462,0
-52317.96226576885,-139001.5307421824,0
-52502.046919100765,-138876.3531779167,0
-52627.224483366466,-138618.63466325199,0
-52487.32014683421,-138302.0090595211,0
-52244.32840443609,-137904.3862083242,0
-52016.06343430452,-137661.39446592607,0
-51831.978780972604,-137705.57478272571,0
-51640.53074150741,-137801.2988024583,0
-51368.08545457618,-137948.56652512384,0
-51345.995296176356,-138147.37795072232,0
-51463.80947430878,-138331.46260405422,0
-51603.713810841036,-138618.63466325199,0
-51765.70830577312,-138883.71656404994,0
-51824.615394839326,-139134.07169258135,0
-51721.52798897345,-139399.1535933793,0
-51581.6236524412,-139524.33115764498,0
-51368.08545457618,-139627.41856351087,0
-51073.55000924512,-139678.9622664438,0
-50900.13764131869,-139838.8828017615,0
-50891.06023657126,-140083.97272994186,0
-51117.99535525677,-140120.28234893156,0
-51181.537188488706,-140201.9789916583,0
-51199.691997983544,-140356.29487236447,0
-51063.53092677225,-140483.37853882834,0
-50972.756879298046,-140674.00403852414,0
-50836.59580808674,-141046.17763316838,0
-50645.970308390926,-141118.79687114773,0
-50500.731832432204,-141046.17763316838,0
-50355.49335647349,-140846.47472872515,0
-50065.016404556045,-140755.70068125092,0
-49928.85533334475,-140737.5458717561,0
-49644.08445301983,-140877.80360404123,0
-49573.33913401962,-140323.63193853956,0
-49356.978834257294,-139875.19242075118,0
-49311.59181052019,-139448.55439762244,0
-49220.81776304599,-138740.5168273237,0
-49465.90769122633,-138558.9687323753,0
-49620.22357193247,-137887.2407810662,0
-49638.37838142731,-137696.61528137044,0
-49583.91395294279,-136670.86854491197,0
-49447.75288173149,-136244.23052178323,0
-49202.66295355115,-135872.056927139,0
-49102.81150132953,-135590.657379969,0
-49093.73409658211,-135291.10302330414,0
-49111.88890607695,-135145.8645473454,0
-48915.47170351196,-134649.9577834893,0
-48818.90487219795,-134360.2572895473,0
-48653.36173280249,-133256.63636024424,0
-48805.10961058166,-132649.6448491276,0
-48722.33804088394,-132249.58226225525,0
-48432.637546941885,-131711.56705922002,0
-48432.637546941885,-131145.96133295223,0
-48570.59016310477,-130207.88354304465,0
-48667.15699441878,-129683.6636016257,0
-48667.15699441878,-128993.90052081131,0
-48912.003341308955,-128176.60273031471,0
-49289.37620918246,-127254.13571995727,0
-49394.20200581399,-126834.83253343114,0
-49239.01689580619,-126288.87053394876,0
-49193.62987206909,-125880.38732031485,0
-49320.713538532975,-125471.90410668096,0
-49538.571252471054,-124936.33722658319,0
-49683.80972842977,-124437.07996547509,0
-49729.19675216687,-124273.68668002154,0
-49901.66744236785,-123747.19720467117,0
-50001.51889458947,-123429.48803851148,0
-50001.51889458947,-123429.48803851148,0
-50228.45401327497,-122421.89611154786,0
